,med_sentence
0,"There are quite a few messages in the movie, but the one I took away the most is that all the emotions that are numed with meds are very important for the evolution and expression of yourself."
1,"Now I'm not saying that you should stop meds all together, but that you should always keep searching for a substance and dose which allow you to be all you can be while having manageable symptoms."
2,I've been lucky enough to have a doctor that's willing to experiment with my meds and find a dose that allows me to be me.
3,"I guess this post is trying to impart 3 wisdoms; never give up on meds just because a certain one gets you down, respect your doctor's opinion while keeping them informed on your experiences, and don't treat meds as a cure-all."
4,"I feel like this life that I'm doing well in isn't the real thing, because the medication covers the real thing."
5,The meds interfere.
6,"I am possibly moving back with my mom in a month or so, and she is iffy about my meds."
7,Why do we get these feelings of stopping meds?
8,Every time I'm in control of my medication I get this temptation.
9,"I don't plan on stopping meds, I don't think I will."
10,"She has taken several medications (Invega, Risperadone, and other's that I can't remember) - right now she's on risperidone."
11,"The medicine keeps her from screaming all hours of the day, but the other symptoms are still present."
12,I wonder if she will always be this way or if we have just not found the right combination of medication.
13,"My question is... do you think it's possible that she just needs a different medicine, a higher dosage, or is it just that some people are far worse than others and there's nothing that can be done about it?"
14,"Also, I have not been taking my medication so she holds this over me as well."
15,Here you have a class of people who a lot of them differ from the general population in that they have to take some sort of medication and the media is  putting people who want to prevent them from working and earning their living.
16,"My worry is that he is not on medication, but only because his mom doesn't care enough to blow her money on his treatment(hes already $20k+ in debt from medical bills, since then she hasn't helped him in any way that I know of)."
17,I started my meds today and all I felt today was tired and sad.
18,"They are scary and I see things and hear things and feel smell and taste things all that other people can't or claim aren't real but I think slot of hem are real, like the man and the little girl and the man trying to poison me every night so he can take me away, I don't wanna be here that's all I ever worry about I was on honor roll all of 10th grade and I'm in a bunch if activities and I'm always busy but I can't handle all of this I constantly am seeing things and my meds made everything worse I don't want to be here."
19,God I just can't keep taking these fucking medications!
20,The meds are working and I'm isolated from them.
21,The meds are working.
22,"When the meds that the government gives me to prevent my abilities aren't preventing the ones I have I can hear people from a whole other dimension, see their creatures, see them in dirt and ripped clothing having been fighting all their lives."
23,I need to do something but the medications are getting in the way.
24,I want to write about ideal worlds but I find the medications getting in the way of me thinking about ideal worlds.
25,Should I stop the medications?
26,"I do not have psychotic symptoms off the meds, just what a doctor said was tangential and loose but that could be said of any social science fiction writer."
27,I do not want to be hospitalized or locked up and forced to take medications and be with unstable violent people.
28,Are they going to lock me up again for not taking medications?
29,"For example, I looked around at mood/sleep trackers and medication calendar/ reminders, maybe something that can help with anxiety."
30,I also don't argue with her about meds and basically don't make drama for myself.
31,"he's been living with his parents since then and was diagnosed with schizoprenia (for example, he was thinking the news or conversations were secretly about him)...
however, since he's at home again we've met every few weeks and he's on medication and a lot better, but still far from his old self...

so what i wanna know, if you have had similar experiences, was there anything you wished somebody would say or do (but without you telling them that they should do so of course)?"
32,I'm considering asking the Early Intervention in Psychosis team tomorrow (whom I see weekly) about getting me meds to help my avolition and poor attention span.
33,"I know that you might ask me to take him to a pdoc, but he refuses to acknowledge the fact that he's delusional and said that he will never visit a psychiatrist because of his persecutory fear of them (he believes they will ruin his life, pump him up with meds, etc.)."
34,"On another note list your coping mechanisms for when you run out of medication, and how effective you find them to be."
35,"I haven’t actually spoken with her yet but based on the text message I received the Doctor simply suggested it was depression and offered a higher grade medication (she has been using Seroquel at night to help sleep since going to the hospital), which she declined."
36,"Then he told me not to let the real (my boyfriends name) take the medicine because with it, his memories and personality would disappear."
37,I talked to my boyfriend today and he wants to take the medicine.
