,Unnamed: 0,neg_prob,pos_prob,neg_vader,neu_vader,pos_vader,sentence,dict,identifier,sentiment,only pos or neg
4,4,0.9995262188944994,0.00047378110550214337,0.0,0.7959999999999999,0.204,"I feel like this life that I'm doing well in isn't the real thing, because the medication covers the real thing.",nsubj,1,neu_vader,pos_vader
5,5,0.9999669964206068,3.300357940562821e-05,0.0,1.0,0.0,The meds interfere.,nsubj,1,neu_vader,pos_vader
11,11,0.9990779570638034,0.0009220429361878992,0.096,0.904,0.0,"The medicine keeps her from screaming all hours of the day, but the other symptoms are still present.",nsubj,1,neu_vader,neg_vader
18,18,0.9923222567594164,0.007677743240591443,0.13699999999999998,0.7979999999999999,0.064,"They are scary and I see things and hear things and feel smell and taste things all that other people can't or claim aren't real but I think slot of hem are real, like the man and the little girl and the man trying to poison me every night so he can take me away, I don't wanna be here that's all I ever worry about I was on honor roll all of 10th grade and I'm in a bunch if activities and I'm always busy but I can't handle all of this I constantly am seeing things and my meds made everything worse I don't want to be here.",nsubj,1,neu_vader,neg_vader
20,20,0.999958998124902,4.100187510900858e-05,0.223,0.777,0.0,The meds are working and I'm isolated from them.,nsubj,1,neu_vader,neg_vader
21,21,0.9999652670656234,3.4732934369053394e-05,0.0,1.0,0.0,The meds are working.,nsubj,1,neu_vader,pos_vader
22,22,0.9957955218586271,0.0042044781413854435,0.111,0.794,0.095,"When the meds that the government gives me to prevent my abilities aren't preventing the ones I have I can hear people from a whole other dimension, see their creatures, see them in dirt and ripped clothing having been fighting all their lives.",nsubj,1,neu_vader,neg_vader
23,23,0.9997447839448564,0.0002552160551511278,0.0,1.0,0.0,I need to do something but the medications are getting in the way.,nsubj,1,neu_vader,pos_vader
24,24,0.9995365987553356,0.00046340124466983474,0.0,0.6809999999999999,0.319,I want to write about ideal worlds but I find the medications getting in the way of me thinking about ideal worlds.,nsubj,1,neu_vader,pos_vader
44,44,0.9636865155752524,0.036313484424742346,0.149,0.759,0.091,"I've controlled these to an extent, but they are still there, and medications (a variety) don't seem to really work, outside of a benzo on a case-by-case basis (and if it's a bad evening, even these don't help)

Not only is the above true, but I don't actively have depressive symptoms during these events (though I certainly do the next day), I experience catatonic behavior (either going completely rigid or doing a same set of physical things over and over and over), and I've definitely struggled socially and professionally (I actively avoid social encounters when things are bad)

I don't want to diagnose myself, but I also know that while doctors and shrinks are trained professionals, mental issues are very tricky, and I ultimately know what's going on inside my head.",nsubj,1,neu_vader,neg_vader
49,49,0.9998955710669514,0.0001044289330519855,0.113,0.887,0.0,"He's poorly medicated as the medicine makes him groggy and he doesn't take it regularly, and doesn't really believe that he is ill.",nsubj,1,neu_vader,neg_vader
56,56,0.999974635060482,2.536493952285119e-05,0.079,0.733,0.188,"The meds are blocking them, trying to make me like everyone else, pretending they don't exist, we're hurting them because we're not protecting them as we're supposed to.",nsubj,1,neu_vader,pos_vader
76,76,0.9998035450382337,0.00019645496176852768,0.0,1.0,0.0,"With my mother, meds were the issue.",nsubj,1,neu_vader,pos_vader
93,93,0.9997028142216909,0.00029718577830258004,0.073,0.927,0.0,"I just wanted to see if any of you have any suggestions, warnings, advice or whatever as far as specific medications go, or about how things will change after medication.",nsubj_pobj,1,neu_vader,neg_vader
106,106,0.99998510111518,1.4898884814529418e-05,0.0,1.0,0.0,How is your medication working?,nsubj,1,neu_vader,pos_vader
111,111,0.9999908859648696,9.11403513881803e-06,0.18100000000000002,0.725,0.094,Edit: I want to add that my medicine does mess me up sometimes.,nsubj,1,neu_vader,neg_vader
118,118,0.9979314185046398,0.0020685814953670285,0.0,1.0,0.0,The medication had caused a lot of side effects.,nsubj,1,neu_vader,pos_vader
122,122,0.9998317853652072,0.00016821463479458774,0.163,0.7490000000000001,0.08800000000000001,But I think the fact that I can't hear them now just means they're still suffering but unable to communicate because the medication is blocking my ability to hear them.,nsubj,1,neu_vader,neg_vader
125,125,0.9999280413528778,7.195864710631339e-05,0.21100000000000002,0.789,0.0,But I've just read that the meds cause more brain damage than having schizophrenia.,nsubj,1,neu_vader,neg_vader
127,127,0.999845428126467,0.00015457187351982307,0.0,0.851,0.149,That the meds are the reason I'm so normal now and doing well.,nsubj,1,neu_vader,pos_vader
128,128,0.9999416686622092,5.833133777844187e-05,0.0,0.873,0.127,And it sounds like meds are the way but what if they're not?,nsubj,1,neu_vader,pos_vader
129,129,0.9997817599979248,0.0002182400020692199,0.168,0.721,0.111,Meaning that the voices are real and the meds are destructing my ability to listen to them.,nsubj,1,neu_vader,neg_vader
134,134,0.9999909194732196,9.080526778901747e-06,0.0,1.0,0.0,"If so, how do you cope, and what medicines or alternative methods have worked for you?",nsubj,1,neu_vader,pos_vader
145,145,0.9999511814998926,4.881850009215936e-05,0.174,0.826,0.0,"So that proves the meds don't work like they should, I guess.",nsubj,1,neu_vader,neg_vader
153,153,0.9865154771108442,0.013484522889148904,0.0,0.741,0.259,"They tell me the meds will make me feel better, that they can help me and that there is a whole team of people who are behind me wanting to help me and make me feel better.",nsubj,1,neu_vader,pos_vader
155,155,0.9957744772859586,0.004225522714023148,0.10300000000000001,0.847,0.05,"I don't expect any medication to be a panacea, but wondered if anyone had the same experience and how you handled it without causing the affected person to withdraw or become upset.",nsubj,1,neu_vader,neg_vader
158,158,0.9999662197569807,3.378024303841369e-05,0.0,1.0,0.0,And I don't know how these medications work.,nsubj,1,neu_vader,pos_vader
167,167,0.9998666118133256,0.00013338818668986836,0.179,0.821,0.0,If the meds are not going to work then why deal with all the horrible side effects,nsubj,1,neu_vader,neg_vader
180,180,0.999998269624945,1.730375065934449e-06,0.18600000000000003,0.752,0.062,"The mind control medicine let's them into my brain and they know all my thoughts and they communicate with me through my brain saying they are doing this to make me kill myself I don't want to let them win 

How did you stop them spreading this lies saying you have ""schizophrenia""",nsubj,1,neu_vader,neg_vader
191,191,0.9998299802592284,0.00017001974075452395,0.106,0.894,0.0,"During my recent visit, the doctor told me that this medication can be stopped in some years.",nsubjpass,1,neu_vader,neg_vader
192,192,0.9997612792163856,0.0002387207836317439,0.245,0.674,0.081,"My medication has really bad side effects, an anxious, sick feeling feeling every time I take it, including involuntary muscle movements (Latuda) and my eyes started rolling back in my head.",nsubj,1,neu_vader,neg_vader
194,194,0.9998214009158712,0.00017859908412435287,0.048,0.731,0.221,I've lost about 10 lbs so far but I'm sure my meds are holding me back since they helped me gain so much weight in the first place.,nsubj,1,neu_vader,pos_vader
202,202,0.9997860128453046,0.00021398715470915332,0.0,0.737,0.263,Like the meds are making me less human.,nsubj,1,neu_vader,pos_vader
211,211,0.9999517037020236,4.829629796797634e-05,0.28600000000000003,0.7140000000000001,0.0,Says the place is making him crazy and the medicine is making him crazy.,nsubj,1,neu_vader,neg_vader
212,212,0.99973223457962,0.00026776542038721483,0.069,0.519,0.41200000000000003,Would medication that was successful to a distant relative  (3rd cousin) with paranoid schizophrenia have a better chance at successfully treating him?,nsubj,1,neu_vader,pos_vader
233,233,0.9998605564290224,0.00013944357099367682,0.0,1.0,0.0,"And if I somehow do get him diagnosed and on meds, would the medication even work with alcohol in his body?",pobj_nsubj,1,neu_vader,pos_vader
237,237,0.9992465567148986,0.0007534432851099091,0.14,0.6759999999999999,0.184,"Unfortunately my father’s family is very traditional and was convinced that there was nothing wrong with him, and that the side affects of the medication would be causing more harm than the medicine did good.",pobj_nsubj,1,neu_vader,pos_vader
250,250,0.9994588532493148,0.0005411467506797746,0.18600000000000003,0.8140000000000001,0.0,"https://www.youtube.com/watch?v=x9iwkMoZWnk

So John apparently has paranoid schizophrenia, and has said that he believes the medication he is receiving is poison, so he refuses to take them.",nsubj,1,neu_vader,neg_vader
259,259,0.9993496967821608,0.0006503032178306024,0.141,0.757,0.102,"With medication he's great but I know that medications lose effectiveness over time a lot, or he could think he doesn't need them.",pobj_nsubj,1,neu_vader,neg_vader
265,265,0.9998929398599088,0.00010706014009620556,0.0,0.875,0.125,"Hi guys, I've been living with stability for quite some time now, but my medication leaves me without any spontaneity or enthusiasm for life that is so me.",nsubj,1,neu_vader,pos_vader
276,276,0.9999824254743824,1.7574525615615473e-05,0.0,0.884,0.11599999999999999,If you feel like your medications aren't working tell your doctor and they can see where things go from there.,nsubj,1,neu_vader,pos_vader
283,283,0.9999212463158836,7.875368410874045e-05,0.0,0.804,0.196,"My delusions are much more constant, although medication is helping.",nsubj,1,neu_vader,pos_vader
286,286,0.9996657334705668,0.0003342665294425368,0.355,0.645,0.0,"My Mom is diagnosed with Depression with Psychotic features, and she has gotten worse and worse after each episode from when 1) her medication fails or 2) she stops taking it.",nsubj,1,neu_vader,neg_vader
289,289,0.999392815449986,0.0006071845500217282,0.237,0.763,0.0,I hate having a curfew because I have to talk my seroquel at night and my meds no later than 12 the next day.,nsubj,1,neu_vader,neg_vader
297,297,0.9999600107597171,3.9989240294631076e-05,0.0,1.0,0.0,That's something modern medicine doesn't quite understand.,nsubj,1,neu_vader,pos_vader
299,299,0.9998856193327144,0.00011438066726603344,0.0,1.0,0.0,But the medication makes me sleepy.,nsubj,1,neu_vader,pos_vader
315,315,0.9998033620588068,0.0001966379411748484,0.0,1.0,0.0,"That's the longest my meds have ever worked for me, and the first time that I barely think about how people can hear my thoughts (still believe it, but never think on it anymore).",nsubj,1,neu_vader,pos_vader
332,332,0.9999910219668032,8.978033209972708e-06,0.0,0.769,0.231,What are some promising medications currently being researched for schizophrenia?,nsubjpass,1,neu_vader,pos_vader
339,339,0.9998988884520166,0.00010111154797336326,0.155,0.845,0.0,"My current medications keep me from being suicidal and I'm productive occasionally, but that isn't enough.",nsubj,1,neu_vader,neg_vader
341,341,0.9999307317355302,6.926826448743461e-05,0.0,1.0,0.0,Esp if not meds or therapy are involved at the time.,nsubjpass,1,neu_vader,pos_vader
349,349,0.9995396486699224,0.00046035133009119836,0.31,0.69,0.0,I have a suicide complex and this medication amplified it to overwhelming urges.,nsubj,1,neu_vader,neg_vader
352,352,0.9998424932687066,0.00015750673130788222,0.0,1.0,0.0,"I will not mention medication anymore, everyone's experiences may differ, these medicines are borderline experimental.",dobj_nsubj,1,neu_vader,pos_vader
354,354,0.9999098790900836,9.012090992061809e-05,0.0,0.884,0.11599999999999999,I know meds work different for every person but I just want to ask.,nsubj,1,neu_vader,pos_vader
356,356,0.9998924285381762,0.00010757146181715444,0.0,1.0,0.0,He is 27 years old and seems to think the medication doesn't do anything.,nsubj,1,neu_vader,pos_vader
370,370,0.9964845868874276,0.003515413112583609,0.122,0.741,0.138,This is why anti seizure medication helps a lot of people who are diagnosed with mood disorders.,nsubj,1,neu_vader,pos_vader
377,377,0.9998711091686324,0.00012889083136413302,0.0,0.843,0.157,The medication prevents you from seeing the pattern.,nsubj,1,neu_vader,pos_vader
383,383,0.9999398008087323,6.0199191259872324e-05,0.0,0.763,0.237,"What have you tried, medication wise, that keeps the voices away?",nsubj,1,neu_vader,pos_vader
407,407,0.9999830797797872,1.692022019519925e-05,0.084,0.8640000000000001,0.052000000000000005,"If my psychologist and psychiatrist decide that it's all pseudohallucinations (because I later on find out stuff isn't real, so I know the difference or however they explained it) and I don't get meds to help me, should I seek out another psychiatrist or are the meds not worth all that trouble?",nsubj,1,neu_vader,neg_vader
408,408,0.9998636417481612,0.00013635825185430358,0.0,0.899,0.10099999999999999,My family is trying to interfere with his treatment because they don't understand what the medication is doing and I need help advocating for my cousin.,nsubj,1,neu_vader,pos_vader
412,412,0.9999304029763436,6.959702365990677e-05,0.068,0.8240000000000001,0.109,what are some good coping skills to try to make this go away.. is my medication not working as well as I think it is?,nsubj,1,neu_vader,pos_vader
417,417,0.9989113929027522,0.0010886070972652099,0.0,0.7709999999999999,0.22899999999999998,I am going out of town on a trip in a couple of days and I just hope that my meds work by then so my trip is more enjoyable and I can be outgoing again.,nsubj,1,neu_vader,pos_vader
421,421,0.989218503682512,0.01078149631749678,0.0,0.919,0.081,"Eventually my medication kicked in and I got into Buddhism, realized power and material reality are only worldly possessions of the human mind, and meditate and pray everyday.",nsubj,1,neu_vader,pos_vader
438,438,0.997791937573917,0.002208062426065209,0.23399999999999999,0.6509999999999999,0.115,"They're medicated, but the medicine doesn't seem to help with certain facets of the disease such as paranoia.",nsubj,1,neu_vader,neg_vader
470,470,0.999952057056596,4.7942943393693984e-05,0.0,1.0,0.0,"The meds I'm currently on, Latuda, works miracles.",nsubj,1,neu_vader,pos_vader
473,473,0.9978931121049008,0.002106887895090996,0.057999999999999996,0.594,0.348,"I know a lot of people think they're better when the meds are working and go off and get sick again, but I feel like I could be better for good.",nsubj,1,neu_vader,pos_vader
475,475,0.9994765451271932,0.0005234548728169231,0.0,0.735,0.265,"I think therapy might be a good first step, and I've been more easily able to help people seek therapy over psychiatrists (though I know medicine can be effective).",nsubj,1,neu_vader,pos_vader
476,476,0.9995726994494168,0.0004273005505650523,0.073,0.852,0.075,I desperately need financial help because I had to reduce my work hours as the medication was unbearable but I cannot keep up with the bills.,nsubj,1,neu_vader,pos_vader
482,482,0.9979121087377246,0.002087891262271917,0.198,0.5770000000000001,0.225,"I do know that the medication lowers his fertility, but does it increase the chance of any birth defects?",nsubj,1,neu_vader,pos_vader
487,487,0.9996808047193156,0.00031919528068360893,0.203,0.797,0.0,"The medication, the therapy, the hypnosis, and intimidation will never change this.",nsubj,1,neu_vader,neg_vader
490,490,0.9999822933646596,1.7706635323112735e-05,0.153,0.847,0.0,"I haven't been on medication for about 2 months now I think, dunno if it's that but if it is then, whatever, meds make this 10x worse.",pobj_nsubj,1,neu_vader,neg_vader
503,503,0.9993081636776032,0.0006918363223802652,0.162,0.838,0.0,"At first I was in denial about it, but when she doesn't take her meds the crazy starts.",nsubj,1,neu_vader,neg_vader
521,521,0.9999636551477424,3.6344852261842855e-05,0.149,0.851,0.0,I have tried many medications and few even begin to work and those that do are so awful when the side effects are considered.,nsubj,1,neu_vader,neg_vader
523,523,0.9996351398735692,0.0003648601264330583,0.109,0.83,0.061,"I really have dreams of having children one day, but how can i if my psych meds are going to make my baby be born with birth defects among other things.",nsubj,1,neu_vader,neg_vader
532,532,0.9997180184822948,0.00028198151771821416,0.08900000000000001,0.9109999999999999,0.0,"I'm not sure if what I am currently experiencing is normal in the ""recovery process"", or if the medications aren't entirely working.",nsubj,1,neu_vader,neg_vader
533,533,0.998640039742284,0.0013599602577300256,0.10099999999999999,0.765,0.133,"Granted, when I was at my worst I firmly believed in my thoughts and felt that the meds were being prescribed for the same reason as above: to prevent me from seeing the truth about my life.",nsubjpass,1,neu_vader,pos_vader
545,545,0.9999640276108528,3.597238916543495e-05,0.297,0.703,0.0,I recently quit taking my medication because I fear the medicine is meant to keep me confused.,dobj_nsubjpass,1,neu_vader,neg_vader
574,574,0.9886460249061678,0.011353975093844485,0.0,0.853,0.147,"I have been stable for a while, and currently I do not take anti-psychotics (Haldol last year) My current medication is a strong dosage (200mgs) of a generic anti-depressant, and that has been a consistent dosage for more than a year.",nsubj,1,neu_vader,pos_vader
576,576,0.9998923891056696,0.00010761089431716016,0.0,0.938,0.062,"He makes dinner and watches movies with me and just functions OK. His meds are on the counter and I assume he takes them every morning, but what if that isn't enough?",nsubj,1,neu_vader,pos_vader
577,577,0.9995840265464526,0.0004159734535368233,0.07,0.769,0.161,"There is nothing going well for me except for the handful of friends I've retained over the years, and the medication I am prescribed.",nsubjpass,1,neu_vader,pos_vader
584,584,0.9991642218959542,0.0008357781040400115,0.138,0.862,0.0,The medication makes me quite asexual and that's not a good thing when you are in a relationship.,nsubj,1,neu_vader,neg_vader
586,586,0.9998518478078348,0.00014815219214631397,0.195,0.805,0.0,Because it ruins my relationship and I don't think that the medication is necessary.,nsubj,1,neu_vader,neg_vader
590,590,0.9998486524116312,0.00015134758834840344,0.444,0.41700000000000004,0.139,I honestly thought the medication was going to kill me; it worsened my paranoia.,nsubj,1,neg_vader,neg_vader
601,601,0.9994897959911544,0.0005102040088582646,0.075,0.8190000000000001,0.106,I have heard that when a patient goes off of their meds for too long then that medication is no longer effective and a new drug must be found.,pobj_nsubj,1,neu_vader,pos_vader
609,609,0.9998343818809702,0.00016561811902248485,0.155,0.845,0.0,"Up until today, I was under the belief that no such medication currently existed.",nsubj,1,neu_vader,neg_vader
620,620,0.9992970950561528,0.0007029049438488003,0.15,0.728,0.121,It kind of feels like the medication is causing the delusions considering they're worse in the evening.,nsubj,1,neu_vader,neg_vader
658,658,0.9998608108161696,0.00013918918384299946,0.17,0.83,0.0,"I started taking new meds, my old meds never seemed to help much.",nsubj,1,neu_vader,neg_vader
661,661,0.9999741041784118,2.589582158439085e-05,0.0,0.7,0.3,Do the medications and psychiatrist involvement really help?,nsubj,1,neu_vader,pos_vader
664,664,0.999561148126724,0.0004388518732650242,0.0,1.0,0.0,This has gone one for around 3 months as the meds don't seem to work this time.,nsubj,1,neu_vader,pos_vader
674,674,0.9998310336691428,0.0001689663308521945,0.3,0.588,0.11199999999999999,Until now doctors are nice but the treatment/medication seems not making significant improvement.,nsubj,1,neu_vader,neg_vader
676,676,0.9974875902672268,0.002512409732779941,0.09300000000000001,0.807,0.1,"My current medicine, Zyprexa, has been working well and I'm a small dude so I don't mind the increase in appetite.",nsubj,1,neu_vader,pos_vader
679,679,0.999797124872722,0.00020287512725851784,0.514,0.486,0.0,"((Continuation)) I'm so tired and fatigued, the meds might make it worse.",nsubj,1,neg_vader,neg_vader
680,680,0.9998502170633776,0.0001497829366234469,0.0,0.878,0.122,"I already eat for comfort, the meds will make me eat more, I already eat too much for the money I get.",nsubj,1,neu_vader,pos_vader
694,694,0.999856715674838,0.00014328432517459169,0.09,0.5820000000000001,0.32799999999999996,"For a bonus question, do you think a mild anxiety medication might help reduce my breaks?",nsubj,1,neu_vader,pos_vader
707,707,0.999922066429844,7.793357016882441e-05,0.0,1.0,0.0,Do meds really get rid of delusions?,nsubj,1,neu_vader,pos_vader
715,715,0.99995162396883,4.83760311606375e-05,0.0,0.85,0.15,I am just curious as to what medicines are available and what their side-effects are?,nsubj,1,neu_vader,pos_vader
719,719,0.998283677840866,0.0017163221591212766,0.0,0.9,0.1,"While this is beneficial and I don't mind continuing to take this medication, the medication, which may be a placebo is not what I expected off this ""revolutionary new treatment""...",nsubj,1,neu_vader,pos_vader
720,720,0.9999606436662856,3.9356333710636944e-05,0.0,0.7759999999999999,0.22399999999999998,This medicine has done very little to improve my self image.,nsubj,1,neu_vader,pos_vader
723,723,0.9999745411727964,2.545882721699699e-05,0.0,1.0,0.0,Is this basically all that the medication is doing?,nsubj,1,neu_vader,pos_vader
