,Unnamed: 0,neg_prob,pos_prob,neg_vader,neu_vader,pos_vader,sentence,dict,identifier,sentiment,only pos or neg
0,0,0.865800174070461,0.13419982592954294,0.0,0.9279999999999999,0.07200000000000001,"There are quite a few messages in the movie, but the one I took away the most is that all the emotions that are numed with meds are very important for the evolution and expression of yourself.",pobj,-1,neu_vader,pos_vader
1,1,0.9985543510827452,0.0014456489172445153,0.043,0.893,0.064,"Now I'm not saying that you should stop meds all together, but that you should always keep searching for a substance and dose which allow you to be all you can be while having manageable symptoms.",dobj,-1,neu_vader,pos_vader
2,2,0.9997734390350941,0.000226560964907106,0.0,0.887,0.113,I've been lucky enough to have a doctor that's willing to experiment with my meds and find a dose that allows me to be me.,pobj,-1,neu_vader,pos_vader
3,3,0.9996088541831708,0.00039114581682809114,0.054000000000000006,0.82,0.125,"I guess this post is trying to impart 3 wisdoms; never give up on meds just because a certain one gets you down, respect your doctor's opinion while keeping them informed on your experiences, and don't treat meds as a cure-all.",dobj,-1,neu_vader,pos_vader
6,6,0.9995089692442296,0.000491030755769669,0.0,1.0,0.0,"I am possibly moving back with my mom in a month or so, and she is iffy about my meds.",pobj,-1,neu_vader,pos_vader
7,7,0.9999277618279816,7.223817200357521e-05,0.16699999999999998,0.833,0.0,Why do we get these feelings of stopping meds?,dobj,-1,neu_vader,neg_vader
8,8,0.9998233081646494,0.00017669183535638262,0.0,1.0,0.0,Every time I'm in control of my medication I get this temptation.,pobj,-1,neu_vader,pos_vader
9,9,0.9999468719376886,5.312806229772699e-05,0.0,0.8290000000000001,0.171,"I don't plan on stopping meds, I don't think I will.",dobj,-1,neu_vader,pos_vader
10,10,0.9998394756276571,0.00016052437234093873,0.0,1.0,0.0,"She has taken several medications (Invega, Risperadone, and other's that I can't remember) - right now she's on risperidone.",dobj,-1,neu_vader,pos_vader
12,12,0.9997315037211328,0.00026849627886032184,0.0,1.0,0.0,I wonder if she will always be this way or if we have just not found the right combination of medication.,pobj,-1,neu_vader,pos_vader
13,13,0.9998301251557136,0.00016987484429825168,0.079,0.9209999999999999,0.0,"My question is... do you think it's possible that she just needs a different medicine, a higher dosage, or is it just that some people are far worse than others and there's nothing that can be done about it?",dobj,-1,neu_vader,neg_vader
14,14,0.9999190582190663,8.094178092858473e-05,0.0,0.87,0.13,"Also, I have not been taking my medication so she holds this over me as well.",dobj,-1,neu_vader,pos_vader
15,15,0.9882069923200248,0.011793007679980221,0.0,0.943,0.057,Here you have a class of people who a lot of them differ from the general population in that they have to take some sort of medication and the media is  putting people who want to prevent them from working and earning their living.,pobj,-1,neu_vader,pos_vader
16,16,0.9996055135964448,0.000394486403566757,0.17800000000000002,0.8220000000000001,0.0,"My worry is that he is not on medication, but only because his mom doesn't care enough to blow her money on his treatment(hes already $20k+ in debt from medical bills, since then she hasn't helped him in any way that I know of).",pobj,-1,neu_vader,neg_vader
17,17,0.9999695049653772,3.049503461103736e-05,0.375,0.625,0.0,I started my meds today and all I felt today was tired and sad.,dobj,-1,neu_vader,neg_vader
19,19,0.9999691039567248,3.089604328288503e-05,0.0,0.745,0.255,God I just can't keep taking these fucking medications!,dobj,-1,neu_vader,pos_vader
25,25,0.9999485044563224,5.149554369262392e-05,0.423,0.5770000000000001,0.0,Should I stop the medications?,dobj,-1,neu_vader,neg_vader
26,26,0.9987640083902114,0.001235991609796633,0.06,0.94,0.0,"I do not have psychotic symptoms off the meds, just what a doctor said was tangential and loose but that could be said of any social science fiction writer.",pobj,-1,neu_vader,neg_vader
27,27,0.9999175886221464,8.241137786853221e-05,0.39899999999999997,0.601,0.0,I do not want to be hospitalized or locked up and forced to take medications and be with unstable violent people.,dobj,-1,neu_vader,neg_vader
28,28,0.9999715726141158,2.8427385902902855e-05,0.0,1.0,0.0,Are they going to lock me up again for not taking medications?,dobj,-1,neu_vader,pos_vader
30,30,0.9999037653962279,9.623460376192121e-05,0.0,0.865,0.135,I also don't argue with her about meds and basically don't make drama for myself.,pobj,-1,neu_vader,pos_vader
31,31,0.9991701358762756,0.0008298641237284349,0.0,0.977,0.023,"he's been living with his parents since then and was diagnosed with schizoprenia (for example, he was thinking the news or conversations were secretly about him)...
however, since he's at home again we've met every few weeks and he's on medication and a lot better, but still far from his old self...

so what i wanna know, if you have had similar experiences, was there anything you wished somebody would say or do (but without you telling them that they should do so of course)?",pobj,-1,neu_vader,pos_vader
33,33,0.940610376241991,0.059389623758006736,0.168,0.8320000000000001,0.0,"I know that you might ask me to take him to a pdoc, but he refuses to acknowledge the fact that he's delusional and said that he will never visit a psychiatrist because of his persecutory fear of them (he believes they will ruin his life, pump him up with meds, etc.).",pobj,-1,neu_vader,neg_vader
34,34,0.9996723886478658,0.0003276113521489466,0.0,0.871,0.129,"On another note list your coping mechanisms for when you run out of medication, and how effective you find them to be.",pobj,-1,neu_vader,pos_vader
35,35,0.9699411884560551,0.0300588115439328,0.102,0.8270000000000001,0.07200000000000001,"I haven’t actually spoken with her yet but based on the text message I received the Doctor simply suggested it was depression and offered a higher grade medication (she has been using Seroquel at night to help sleep since going to the hospital), which she declined.",dobj,-1,neu_vader,neg_vader
36,36,0.9996001039774144,0.00039989602260427886,0.076,0.924,0.0,"Then he told me not to let the real (my boyfriends name) take the medicine because with it, his memories and personality would disappear.",dobj,-1,neu_vader,neg_vader
37,37,0.9999348337769002,6.516622311656235e-05,0.0,1.0,0.0,I talked to my boyfriend today and he wants to take the medicine.,dobj,-1,neu_vader,pos_vader
38,38,0.9991632662242812,0.0008367337757021148,0.13,0.742,0.129,I don't enjoy taking my meds because they reduce my creativity and I am a musician/artist that is in college.,dobj,-1,neu_vader,neg_vader
39,39,0.999986491302966,1.3508697023655972e-05,0.0,1.0,0.0,If not I guess it's back to meds but here goes nothing.,pobj,-1,neu_vader,pos_vader
40,40,0.9989309711970056,0.0010690288029794057,0.092,0.7340000000000001,0.174,"Next week I want to have a total reevaluation of my medication because I have been lying a lot and playing games with my healthworkers and doctors, never had a reason to be honest with them.",pobj,-1,neu_vader,pos_vader
43,43,0.999898111711634,0.00010188828835857375,0.0,0.765,0.235,"I'm curious to know how you would change your treatment plan, your medication, your insurance, basically anything and everything you would like to see change regarding your health care.",dobj,-1,neu_vader,pos_vader
45,45,0.9998290241369532,0.00017097586302853906,0.086,0.674,0.239,"I'm not searching for medication or anything; I just genuinely want to be better, and the various drugs I've tried to improve things...haven't improved them.",pobj,-1,neu_vader,pos_vader
46,46,0.9999513307275744,4.8669272410672495e-05,0.215,0.785,0.0,"I'm not on any meds for this, but I am for having Borderline personality disorder.",pobj,-1,neu_vader,neg_vader
47,47,0.999392354006948,0.0006076459930527366,0.19699999999999998,0.8029999999999999,0.0,I realise some of you don't take meds and have a problem with psychiatry.,dobj,-1,neu_vader,neg_vader
48,48,0.9686459167382544,0.03135408326172764,0.0,0.8420000000000001,0.158,But taking one's meds is an important part of the recovery process and I know from experience and from reading other people's experience that they help a lot.,dobj,-1,neu_vader,pos_vader
50,50,0.9998880713561588,0.00011192864386108084,0.0,1.0,0.0,I was diagnosed with schizophrenia 8 months ago and now that I am on the right medication and my symptoms have gone I am looking at doing some international travel.,pobj,-1,neu_vader,pos_vader
51,51,0.9999856845608692,1.431543911671766e-05,0.0,1.0,0.0,I am not on any medication and have discontinued seeing my therapist because she doesn't understand at all.,pobj,-1,neu_vader,pos_vader
