,Unnamed: 0,neg_prob,pos_prob,neg_vader,neu_vader,pos_vader,sentence,dict,identifier,sentiment,only pos or neg
29,29,0.9998894969655774,0.00011050303444258733,0.083,0.784,0.132,"For example, I looked around at mood/sleep trackers and medication calendar/ reminders, maybe something that can help with anxiety.",compound,0,neu_vader,pos_vader
32,32,0.9997174218916156,0.0002825781083942209,0.10800000000000001,0.799,0.094,I'm considering asking the Early Intervention in Psychosis team tomorrow (whom I see weekly) about getting me meds to help my avolition and poor attention span.,ccomp,0,neu_vader,neg_vader
41,41,0.9811035934481088,0.018896406551901758,0.248,0.5589999999999999,0.192,"There was a brief moment of perfection for a month or two, no medication, i stopped those due to the poisoning effects that they had, feeling completely tired all the time, increasing weight gain, etc.",npadvmod,0,neu_vader,neg_vader
42,42,0.9818154815153972,0.01818451848462086,0.139,0.82,0.040999999999999995,"Or the medicines, which they collectively shove down your throat almost like a ritual in the early hours of the morning when you're hardly awake and other times when you're so tired from their drug-induce seditive that you're falling asleep) and they cut you off from the world too.",ROOT,0,neu_vader,neg_vader
60,60,0.9999542841522826,4.571584771740912e-05,0.0,0.762,0.23800000000000002,Are the medication supposed to be less effective with time?,attr,0,neu_vader,pos_vader
63,63,0.9999912686350936,8.731364902826312e-06,0.0,1.0,0.0,"My psychiatrist is always fucking off, I'm seeing my psychologist though but I don't think they know too much about schizophrenia and the medicine.",conj,0,neu_vader,pos_vader
73,73,0.9999450095202186,5.4990479799204504e-05,0.075,0.7490000000000001,0.17600000000000002,I need to hear that it would be ok if I did this because I really need help and have no one or even a doctor or any meds.,conj,0,neu_vader,pos_vader
78,78,0.9999723251205056,2.7674879493631084e-05,0.0,1.0,0.0,Go off meds.,npadvmod,0,neu_vader,pos_vader
85,85,0.9999822832588342,1.7716741169022773e-05,0.0,0.607,0.39299999999999996,"Whatever she needs, be that medication or psychotherapy, I hope she gets, and I hope it helps her.",attr,0,neu_vader,pos_vader
91,91,0.9999680714530188,3.192854698814457e-05,0.29,0.58,0.13,Because antidepressants and anti anxiety medications are just fine where I live.,conj,0,neu_vader,neg_vader
101,101,0.9996487772449538,0.00035122275504774253,0.0,0.755,0.245,"Hey, so I'm a nursing student interested in becoming a psych nurse &amp; for clinical we're analyzing various medication regimens for a ""medication reconciliation"" project- anyone care to share there experiences?",compound,0,neu_vader,pos_vader
105,105,0.9999707042608714,2.9295739128046338e-05,0.14400000000000002,0.856,0.0,She still is not accepting my diagnosis and tried to get me off meds.,npadvmod,0,neu_vader,neg_vader
124,124,0.999832436233028,0.00016756376696648617,0.0,1.0,0.0,Maybe it is all the meds.,attr,0,neu_vader,pos_vader
133,133,0.9999274059880224,7.259401196518121e-05,0.268,0.732,0.0,maybe I'm already getting sick and I just need a meds adjustment.,compound,0,neu_vader,neg_vader
135,135,0.9999847755646832,1.5224435326254852e-05,0.0,0.674,0.326,Should I wait until there are better medications?,attr,0,neu_vader,pos_vader
137,137,0.9998437582608972,0.00015624173909805118,0.217,0.7829999999999999,0.0,The second most disabling aspect is the cognitive decline from the illness and medicine that makes me feel that I can't go back to school.,conj,0,neu_vader,neg_vader
138,138,0.9997666623867859,0.00023333761320297675,0.069,0.9309999999999999,0.0,I was just taken off one of my schizophrenia meds(Latuda) because it was making me sick and I don't know if that's the reason but I'm hearing voices more often and I just..,appos,0,neu_vader,neg_vader
143,143,0.9999738926520269,2.610734795660118e-05,0.0,1.0,0.0,"i see my doctor tomorrow, so he'll which medications.",appos,0,neu_vader,pos_vader
146,146,0.9938344072886358,0.006165592711350491,0.11900000000000001,0.573,0.309,"I was 17, had suffered from depression, delusional self-hating thoughts and social anxiety since I was 14, but had learned a better way of coping was finding good friends and exercise instead of therapy, medications, or the like.",conj,0,neu_vader,pos_vader
154,154,0.9840750241348796,0.015924975865123772,0.052000000000000005,0.948,0.0,"The other day she texted me to say that she'd met Nellie Furtado in  hospital medication room and that ""Nellie"" had affirmed her identity (I think this may have been a mistake on the part of a young trainee nurse to ""go along"" with my sister's belief).",compound,0,neu_vader,neg_vader
156,156,0.9999906853975692,9.314602430781242e-06,0.312,0.688,0.0,"Fifth only gave me heavy depression, OCD and schizophrenia medicine without saying what is wrong with me.",conj,0,neu_vader,neg_vader
175,175,0.9996606899120692,0.00033931008793183787,0.0,1.0,0.0,"Is it possible that I also have schizophrenia and the medications, specifically Abilify, that I'm taking are treating it?",conj,0,neu_vader,pos_vader
201,201,0.9999154414028264,8.45585971569308e-05,0.0,1.0,0.0,I think it's the meds.,attr,0,neu_vader,pos_vader
205,205,0.9999669964206068,3.300357940562561e-05,0.0,1.0,0.0,http://www.medscape.com/viewarticle/849865,ROOT,0,neu_vader,pos_vader
272,272,0.9961962518627324,0.0038037481372703366,0.264,0.736,0.0,"E. The disturbance is not attributable to the physiological effects of a substance (eg, a drug of abuse, a medication) or another medical condition.",appos,0,neu_vader,neg_vader
280,280,0.9989230474751484,0.0010769525248709331,0.196,0.804,0.0,She lives a normal life now with no doctors or medication.,conj,0,neu_vader,neg_vader
300,300,0.9999800187564966,1.998124348456226e-05,0.18899999999999997,0.613,0.198,Are there any good antipsychotic meds that don't cause weight gain?,attr,0,neu_vader,pos_vader
305,305,0.9990152909272786,0.0009847090727321183,0.11199999999999999,0.8590000000000001,0.028999999999999998,"If you have not found good relief from your medication regimen, and if others have not quite hit the mark either, you may want to see if pharmacogenetic testing is available in your area (and if it's covered by your insurance).",compound,0,neu_vader,neg_vader
318,318,0.9998041498786896,0.00019585012132654567,0.20199999999999999,0.439,0.36,(Which apparently is a great anti psychosis medication),attr,0,neu_vader,pos_vader
320,320,0.9998606262810188,0.00013937371900024994,0.0,0.818,0.182,"I'm taking Seroquel, Lithium and Lamictal but I wish there was a medicine that made this go away faster.",attr,0,neu_vader,pos_vader
325,325,0.999976416200962,2.358379905738722e-05,0.37,0.63,0.0,Ill be working just to pay doctors when I feel all I need is meds but im scared and am not sure.,acomp,0,neu_vader,neg_vader
346,346,0.9995642050800816,0.0004357949199287504,0.0,1.0,0.0,- My brother has been on tons of different antipsychotics and antidepressant medications.,conj,0,neu_vader,pos_vader
350,350,0.9992236977305152,0.0007763022694680355,0.261,0.7390000000000001,0.0,"I do not want to commit suicide but I do think about it a lot, I believe this medication amplified my complex.",npadvmod,0,neu_vader,neg_vader
363,363,0.9999276057705092,7.239422949864395e-05,0.11,0.826,0.064,Abilify 10mg is currently the only medication I take for psychosis but like I said my pdoc said he would lower the dose next time I saw him so I was just wondering is it common for people to be on only 5mg or lower then 10mg for psychosis/schizophrenia?,attr,0,neu_vader,neg_vader
365,365,0.9998958311301906,0.00010416886982983241,0.0,0.735,0.265,but i also understand that this may change and there are huge flips and episodes even with said help and medication.,conj,0,neu_vader,pos_vader
369,369,0.995070564922284,0.004929435077706054,0.076,0.84,0.084,"I have noticed within the timeline of my own experience, that taking medication for mental illness may alleviate the symptoms temporarily, and depending upon what medication, it may even benefit the individual cognitively.",pcomp,0,neu_vader,pos_vader
380,380,0.9999582815500626,4.171844992787361e-05,0.0,0.841,0.159,"We are charging that to Pristiq (same medicine, cleaner isomer).",npadvmod,0,neu_vader,pos_vader
389,389,0.999488466630568,0.0005115333694417345,0.237,0.763,0.0,If it weren't for my medication things would be a lot worse.,compound,0,neu_vader,neg_vader
390,390,0.9927967119936196,0.007203288006387863,0.154,0.816,0.031,"Roche provides update on the first two of six phase III studies of bitopertin in schizophrenia
Two phase III studies evaluating bitopertin for persistent, predominant negative symptoms of schizophrenia did not meet their primary endpoints; third study is ongoing
Three phase III studies evaluating bitopertin for sub-optimally controlled symptoms of schizophrenia are ongoing
Roche (SIX: RO, ROG; OTCQX: RHHBY) today announced that two phase III studies of its investigational medicine bitopertin (RG1678) in adults with persistent, predominant negative symptoms of schizophrenia failed to meet their primary endpoints, based on the negative symptoms factor score of the positive and negative symptom scale (PANSS).",compound,0,neu_vader,neg_vader
394,394,0.9998897729099012,0.00011022709009726346,0.0,0.838,0.162,"She refuses treatment, medication, and support, and thinks everyone in our family is against her.",conj,0,neu_vader,pos_vader
410,410,0.9998858125597292,0.0001141874402632983,0.0,0.722,0.278,Is it prescribed to help with medication compliance?,compound,0,neu_vader,pos_vader
428,428,0.9327189303728104,0.06728106962717463,0.069,0.815,0.11699999999999999,"So my mother just tried to commit suicide earlier this month, she was feeling depressed a month before that, I just assumed that it was a side effect of her meds clozapine, she has what I assumed schizophrenia, but now after two weeks she's acting so different, it wasn't noticeable at first but she's become so hyperactive, talkative, happy, that it's weirding me and my relatives out.",compound,0,neu_vader,pos_vader
460,460,0.9994904029458164,0.0005095970541817949,0.09699999999999999,0.635,0.268,"I keep going back and forth about whether I want to, but my therapist is really encouraging it, and reassuring me that I'm just sick and can't see it, so I guess I'll give meds a chance again.",dative,0,neu_vader,pos_vader
464,464,0.9997656981659526,0.0002343018340493954,0.0,0.833,0.16699999999999998,"So making medication changes, or any sort of meaningful evaluation impossible.",compound,0,neu_vader,pos_vader
495,495,0.9999747760740348,2.522392598461281e-05,0.0,0.8109999999999999,0.18899999999999997,Why do I do well off meds for such long periods?,npadvmod,0,neu_vader,pos_vader
496,496,0.9999837175009668,1.6282499015582017e-05,0.563,0.43700000000000006,0.0,"I have an anxiety disorder, I take blood pressure medicine and anti-anxiety/ depression medicine.",conj,0,neg_vader,neg_vader
504,504,0.9999577125446804,4.228745530745961e-05,0.0,1.0,0.0,What are some other meds that are known to alleviate cognitive deficits?,attr,0,neu_vader,pos_vader
507,507,0.9999826454251866,1.7354574810530205e-05,0.0,0.589,0.41100000000000003,She's calmer now (anti-anxiety meds!),npadvmod,0,neu_vader,pos_vader
510,510,0.9963364877855406,0.0036635122144416015,0.036000000000000004,0.9640000000000001,0.0,"I do BJJ, and I really do not want to be so medicated that I can't do the thing I'm living for, a life of working and medication and nothing else is not a life I have the slightest intention of living, that's not life, that's existence.",conj,0,neu_vader,neg_vader
514,514,0.9998768992146688,0.00012310078531436894,0.0,1.0,0.0,What are some medications that I should immediately be able to think of when someone tells me their diagnosis?,attr,0,neu_vader,pos_vader
555,555,0.9999929214986729,7.078501334151415e-06,0.0,0.748,0.252,Are there any meds available which could treat this?,attr,0,neu_vader,pos_vader
556,556,0.989690996067194,0.010309003932820046,0.063,0.804,0.133,"The medication (diazepam, I remember lexaurin as well) wasn't prescribed for her, but her mother works in a hospital and got it for her from her friend for her anxiety.",npadvmod,0,neu_vader,pos_vader
557,557,0.999886420924872,0.00011357907514314993,0.0,1.0,0.0,Am I going to not take my meds one day and go off the deep end?,nmod,0,neu_vader,pos_vader
578,578,0.9998990281371803,0.00010097186283866745,0.157,0.843,0.0,I am dependent on my psychiatrist to fill my medication prescriptions on time &amp; without feeling ambitious and wanting to experiment with my well-being.,compound,0,neu_vader,neg_vader
